municipality_code,municipality,year,population
2521,Pajala,2022,5883
2523,Gällivare,2022,17420
2560,Älvsbyn,2022,7911
2580,Luleå,2022,79244
2581,Piteå,2022,42362
2582,Boden,2022,28048
2583,Haparanda,2022,9340
2584,Kiruna,2022,22423
0114,Upplands Väsby,2023,50110
0115,Vallentuna,2023,35076
0117,Österåker,2023,49282
0120,Värmdö,2023,46637
0123,Järfälla,2023,86330
0125,Ekerö,2023,28808
0126,Huddinge,2023,113920
0127,Botkyrka,2023,95592
0128,Salem,2023,17451
0136,Haninge,2023,99751
0138,Tyresö,2023,49173
0139,Upplands-Bro,2023,32453
0140,Nykvarn,2023,12107
0160,Täby,2023,76738
0162,Danderyd,2023,32419
0163,Sollentuna,2023,76790
0180,Stockholm,2023,988943
0181,Södertälje,2023,102519
0182,Nacka,2023,110633
0183,Sundbyberg,2023,55912
0184,Solna,2023,85426
0186,Lidingö,2023,48324
0187,Vaxholm,2023,11817
0188,Norrtälje,2023,65770
0191,Sigtuna,2023,52529
0192,Nynäshamn,2023,30311
0305,Håbo,2023,22974
0319,Älvkarleby,2023,9572
0330,Knivsta,2023,20714
0331,Heby,2023,14343
0360,Tierp,2023,21193
0380,Uppsala,2023,245329
0381,Enköping,2023,48292
0382,Östhammar,2023,22172
0428,Vingåker,2023,8856
0461,Gnesta,2023,11520
0480,Nyköping,2023,58200
0481,Oxelösund,2023,12106
0482,Flen,2023,15668
0483,Katrineholm,2023,34324
0484,Eskilstuna,2023,107468
0486,Strängnäs,2023,38917
0488,Trosa,2023,14885
0509,Ödeshög,2023,5279
0512,Ydre,2023,3637
0513,Kinda,2023,9992
0560,Boxholm,2023,5523
0561,Åtvidaberg,2023,11460
